files/4ds.odin:                                                                                   ASCII text
files/CIMI-CORE-ACTOR.actor.v1.0.0.odin:                                                          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ACTOR.organization.v1.0.0.odin:                                                   UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ACTOR.person.v2.0.0.odin:                                                         UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.10ohcarbazepine_serplmcnc.v1.0.0.odin:                                 UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.17ohp_dbs_ql.v1.0.0.odin:                                              UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.17ohp_serplmcnc.v1.0.0.odin:                                           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.1__25oh2d3_serplmcnc.v1.0.0.odin:                                      UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.1__3_beta_glucan_sermcnc.v1.0.0.odin:                                  UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.1__5anhydroglucitol_serplmcnc.v1.0.0.odin:                             UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.1st_trimester_scn_plus_nt_patientimp.v1.0.0.odin:                      UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.25ohd2_serplmcnc.v1.0.0.odin:                                          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.25ohd3_serplmcnc.v1.0.0.odin:                                          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.2nd_most_predominant_hb_dbs.v1.0.0.odin:                               UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.2nd_trimester_3_screen_serplimp.v1.0.0.odin:                           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.2nd_trimester_4_screen_serplimp.v1.0.0.odin:                           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.3rd_most_predominant_hb_dbs.v1.0.0.odin:                               UTF-8 Unicode text, with very long lines
